device_id,timestamp,consumption,flow_rate,pressure,temperature,ph,turbidity,conductivity,dissolved_oxygen,lat,lng
iot_device_009,2025-06-10T15:04:15.750604,77.79,4.99,2.2,24.0,6.55,1.45,746.0,9.7,30.94158,-102.206151
iot_device_006,2025-06-10T16:04:15.750604,39.44,2.97,7.57,18.0,7.98,1.87,749.0,7.3,25.453051,-83.323091
iot_device_011,2025-06-10T17:04:15.750604,26.84,3.51,7.08,16.9,8.33,1.12,780.0,8.6,28.201892,-93.952268
iot_device_035,2025-06-10T18:04:15.750604,75.19,1.42,6.43,20.8,6.92,4.3,429.0,6.9,44.799339,-87.575818
iot_device_050,2025-06-10T19:04:15.750604,134.89,2.61,5.19,18.6,7.04,0.8,767.0,11.4,45.408292,-110.385479
iot_device_004,2025-06-10T20:04:15.750604,64.57,2.87,3.27,21.9,6.83,1.23,679.0,9.3,48.391553,-106.938397
iot_device_043,2025-06-10T21:04:15.750604,175.47,1.19,5.51,20.2,8.22,0.46,595.0,12.0,46.003702,-113.065297
iot_device_039,2025-06-10T22:04:15.750604,98.07,3.89,5.56,17.4,7.74,2.03,747.0,10.0,30.319157,-72.950909
iot_device_028,2025-06-10T23:04:15.750604,36.83,2.98,6.86,24.6,7.42,0.79,384.0,11.6,31.947271,-102.571183
iot_device_042,2025-06-11T00:04:15.750604,31.11,4.19,7.9,18.2,7.81,0.84,616.0,8.7,28.889277,-74.630177
iot_device_022,2025-06-11T01:04:15.750604,21.16,2.49,2.42,15.0,8.21,1.64,523.0,8.5,31.90332,-72.315927
iot_device_018,2025-06-11T02:04:15.750604,36.94,3.95,3.92,22.0,7.98,1.37,374.0,9.2,25.175681,-102.020799
iot_device_004,2025-06-11T03:04:15.750604,28.79,0.89,5.46,20.6,8.48,0.54,515.0,9.3,34.836016,-118.423854
iot_device_041,2025-06-11T04:04:15.750604,23.11,3.05,5.92,19.9,7.68,0.98,746.0,9.9,29.21246,-98.040212
iot_device_006,2025-06-11T05:04:15.750604,34.94,2.03,4.94,18.2,7.14,1.56,424.0,6.9,38.273354,-90.105594
iot_device_028,2025-06-11T06:04:15.750604,148.12,4.04,2.07,22.4,7.55,0.76,714.0,6.9,25.677096,-78.977896
iot_device_044,2025-06-11T07:04:15.750604,70.83,4.86,6.15,19.8,7.29,2.98,720.0,8.5,42.767168,-111.452387
iot_device_024,2025-06-11T08:04:15.750604,148.99,0.61,2.03,22.8,7.24,4.26,334.0,6.9,40.218293,-81.319103
iot_device_031,2025-06-11T09:04:15.750604,87.6,1.25,7.15,21.7,7.33,0.09,411.0,8.3,33.683043,-101.922952
iot_device_011,2025-06-11T10:04:15.750604,36.57,3.55,6.53,19.2,6.68,0.85,597.0,9.1,45.894696,-79.123146
iot_device_037,2025-06-11T11:04:15.750604,25.98,2.12,2.3,24.1,7.02,3.79,545.0,9.0,26.653337,-72.693467
iot_device_036,2025-06-11T12:04:15.750604,12.63,1.89,3.67,21.3,7.91,4.87,532.0,6.9,40.940192,-111.917614
iot_device_008,2025-06-11T13:04:15.750604,32.13,4.66,7.1,17.6,7.13,3.69,734.0,11.2,47.798282,-109.774253
iot_device_041,2025-06-11T14:04:15.750604,29.06,1.79,3.46,16.1,6.73,0.76,258.0,8.0,34.25946,-107.651224
iot_device_017,2025-06-11T15:04:15.750604,23.66,2.23,5.44,16.8,7.11,4.86,292.0,7.1,27.979507,-75.47224
iot_device_019,2025-06-11T16:04:15.750604,29.44,0.94,6.77,20.0,6.69,3.4,651.0,7.5,28.381618,-107.801796
iot_device_007,2025-06-11T17:04:15.750604,33.53,4.59,3.78,15.7,7.22,0.95,551.0,6.9,28.401229,-98.647613
iot_device_047,2025-06-11T18:04:15.750604,102.65,4.3,2.29,24.9,8.47,1.92,675.0,6.9,38.686717,-75.225945
iot_device_043,2025-06-11T19:04:15.750604,145.08,4.36,4.8,21.2,7.37,0.24,253.0,8.9,40.014697,-89.313258
iot_device_021,2025-06-11T20:04:15.750604,170.62,1.9,6.02,19.2,8.16,2.38,345.0,9.7,49.337015,-106.72154
iot_device_041,2025-06-11T21:04:15.750604,73.48,1.14,6.92,20.5,7.81,4.5,344.0,9.3,30.98543,-99.591858
iot_device_044,2025-06-11T22:04:15.750604,176.09,4.96,7.6,16.1,7.63,1.59,689.0,7.2,25.997797,-99.422302
iot_device_028,2025-06-11T23:04:15.750604,13.26,1.46,6.16,20.3,8.25,0.81,331.0,8.5,36.778953,-86.493272
iot_device_038,2025-06-12T00:04:15.750604,18.31,2.53,6.89,22.0,7.95,2.14,422.0,11.8,25.00149,-109.128539
iot_device_014,2025-06-12T01:04:15.750604,14.27,3.38,2.5,23.8,8.1,1.21,609.0,8.6,36.408188,-80.381943
iot_device_037,2025-06-12T02:04:15.750604,16.0,4.5,7.23,20.3,8.01,4.34,499.0,8.6,39.809096,-104.786382
iot_device_021,2025-06-12T03:04:15.750604,14.27,3.42,5.85,18.1,7.55,4.83,609.0,6.5,47.180159,-103.595333
