network_id,timestamp,pressure,flow_rate,lat,lng,ph,turbidity,conductivity,dissolved_oxygen,temperature,pipe_condition,age_years,material,diameter,last_inspection,efficiency_score,reliability_index,water_loss_percentage,customer_satisfaction,response_time_minutes
network_015,2025-06-10T15:04:15.955978,5.79,61.57,45.037398,-110.140691,7.1,0.98,471.0,11.4,21.1,excellent,8,steel,323.0,2025-01-01T15:04:15.956260,83.3,0.815,16.9,80.1,48.0
network_017,2025-06-10T16:04:15.955978,6.72,54.79,48.907534,-98.675935,8.43,1.89,462.0,8.9,16.2,good,45,concrete,390.0,2024-10-15T15:04:15.956326,76.0,0.982,20.8,88.4,103.0
network_007,2025-06-10T17:04:15.955978,6.65,38.59,34.2654,-88.284044,7.18,2.44,301.0,7.8,24.9,good,33,cast_iron,115.0,2025-01-03T15:04:15.956360,72.1,0.925,18.4,76.8,82.0
network_001,2025-06-10T18:04:15.955978,6.7,58.9,39.957596,-107.368575,7.3,4.48,643.0,9.3,20.3,fair,40,cast_iron,150.0,2024-08-31T15:04:15.956385,94.9,0.909,14.6,94.2,24.0
network_016,2025-06-10T19:04:15.955978,4.3,97.12,37.899485,-101.114792,8.1,1.88,791.0,7.1,18.6,poor,34,steel,250.0,2025-04-01T15:04:15.956403,86.6,0.895,6.3,82.1,72.0
network_020,2025-06-10T20:04:15.955978,4.2,86.74,35.436228,-115.520571,7.77,2.1,227.0,10.2,23.4,poor,28,HDPE,501.0,2024-11-06T15:04:15.956426,76.9,0.932,5.5,93.1,52.0
network_010,2025-06-10T21:04:15.955978,6.91,74.02,36.668238,-101.917984,8.24,0.89,241.0,6.2,17.8,excellent,19,HDPE,250.0,2025-04-08T15:04:15.956446,83.3,0.872,14.9,71.6,31.0
network_013,2025-06-10T22:04:15.955978,3.61,42.49,28.148222,-75.88735,6.67,1.55,249.0,10.5,24.8,fair,11,HDPE,593.0,2025-03-15T15:04:15.956471,82.8,0.936,12.3,82.3,27.0
network_002,2025-06-10T23:04:15.955978,6.88,26.05,44.76688,-71.121874,7.01,3.21,621.0,8.0,20.7,good,21,steel,116.0,2024-07-30T15:04:15.956494,78.9,0.834,5.4,71.1,75.0
network_020,2025-06-11T00:04:15.955978,6.22,15.29,42.185485,-112.216664,6.8,2.9,424.0,9.4,19.8,fair,26,cast_iron,576.0,2024-11-20T15:04:15.956518,74.2,0.862,7.2,85.4,45.0
network_004,2025-06-11T01:04:15.955978,6.14,28.7,49.742194,-75.308994,7.27,1.43,367.0,9.2,19.1,poor,27,cast_iron,358.0,2024-08-28T15:04:15.956539,94.4,0.884,24.9,93.0,58.0
network_016,2025-06-11T02:04:15.955978,6.62,10.29,46.754468,-89.522673,6.53,4.93,308.0,7.6,20.1,fair,25,PVC,313.0,2024-09-14T15:04:15.956557,77.2,0.964,21.9,82.1,75.0
network_010,2025-06-11T03:04:15.955978,6.25,26.91,38.473736,-96.980679,8.31,0.0,729.0,9.1,21.9,poor,25,steel,319.0,2025-05-06T15:04:15.956574,75.5,0.875,14.1,79.0,116.0
network_008,2025-06-11T04:04:15.955978,3.34,66.28,26.900129,-71.142836,6.56,2.3,639.0,9.2,17.2,poor,10,HDPE,285.0,2025-06-24T15:04:15.956598,75.3,0.959,22.9,78.1,57.0
network_013,2025-06-11T05:04:15.955978,5.63,38.21,49.068043,-82.58326,8.01,4.05,578.0,11.9,21.5,good,27,HDPE,319.0,2024-08-15T15:04:15.956617,93.7,0.81,16.9,88.9,74.0
network_008,2025-06-11T06:04:15.955978,6.15,10.14,45.272585,-73.803363,8.32,0.26,244.0,9.1,20.6,good,20,concrete,581.0,2025-04-20T15:04:15.956637,81.2,0.947,18.2,74.0,48.0
network_016,2025-06-11T07:04:15.955978,6.88,38.76,42.662172,-101.96105,7.79,0.6,556.0,7.0,16.0,poor,9,HDPE,259.0,2024-08-20T15:04:15.956654,93.8,0.968,19.1,88.5,31.0
network_012,2025-06-11T08:04:15.955978,6.38,61.26,45.74909,-72.531967,6.69,1.78,661.0,11.6,19.6,poor,19,steel,122.0,2025-02-26T15:04:15.956673,94.4,0.971,24.9,74.2,21.0
network_010,2025-06-11T09:04:15.955978,6.09,79.17,37.57253,-98.367787,7.35,4.27,431.0,8.8,18.8,poor,28,cast_iron,491.0,2024-11-04T15:04:15.956693,81.4,0.801,15.3,74.9,109.0
network_013,2025-06-11T10:04:15.955978,3.16,63.73,44.533498,-111.138788,7.83,1.26,711.0,7.0,24.4,excellent,26,cast_iron,365.0,2025-03-02T15:04:15.956715,87.5,0.859,21.3,79.9,87.0
network_015,2025-06-11T11:04:15.955978,4.75,94.47,43.149776,-107.645677,6.54,2.65,343.0,8.6,24.2,poor,39,cast_iron,225.0,2025-04-22T15:04:15.956739,73.3,0.825,21.7,70.6,72.0
network_009,2025-06-11T12:04:15.955978,6.96,38.44,44.095562,-92.818883,7.08,2.39,688.0,8.0,21.3,good,45,HDPE,239.0,2025-02-28T15:04:15.956761,83.7,0.854,5.3,86.4,78.0
network_012,2025-06-11T13:04:15.955978,6.39,37.38,43.962253,-112.024669,8.3,3.82,218.0,10.8,16.1,fair,26,PVC,544.0,2025-02-07T15:04:15.956778,72.5,0.814,19.2,84.5,112.0
network_012,2025-06-11T14:04:15.955978,3.22,35.96,29.794846,-73.988215,8.13,3.74,423.0,8.6,16.8,excellent,9,cast_iron,208.0,2024-07-13T15:04:15.956795,90.3,0.839,20.0,83.5,91.0
network_014,2025-06-11T15:04:15.955978,4.28,61.28,32.808156,-89.087035,8.4,3.74,476.0,11.8,21.7,poor,8,PVC,187.0,2024-12-27T15:04:15.956812,82.3,0.924,17.4,78.9,113.0
network_010,2025-06-11T16:04:15.955978,6.26,95.07,25.06134,-98.289973,7.51,1.83,583.0,11.7,18.5,fair,36,steel,111.0,2025-05-17T15:04:15.956830,84.1,0.818,10.4,75.4,29.0
network_019,2025-06-11T17:04:15.955978,5.34,77.18,27.075196,-105.037119,8.33,4.3,449.0,9.7,20.3,poor,19,PVC,451.0,2025-05-09T15:04:15.956847,83.4,0.905,19.1,78.6,41.0
network_017,2025-06-11T18:04:15.955978,3.33,67.25,40.699911,-106.6463,7.84,3.38,347.0,6.4,20.1,excellent,45,HDPE,322.0,2025-02-06T15:04:15.956863,90.2,0.84,17.9,85.1,114.0
network_013,2025-06-11T19:04:15.955978,6.19,33.54,30.969582,-111.516347,8.24,1.67,557.0,8.3,17.3,fair,47,HDPE,260.0,2025-06-15T15:04:15.956880,82.3,0.882,5.5,77.5,83.0
network_005,2025-06-11T20:04:15.955978,5.7,15.12,28.111735,-70.216662,6.66,1.63,308.0,9.4,22.6,excellent,5,steel,495.0,2025-04-02T15:04:15.956897,78.1,0.957,17.5,74.3,112.0
